date,ip_total,ip_manuf,retail_vol,construction,exports_vol,imports_vol,unemp_rate,services_iaf,services_H,services_J,services_N,real_wage_bill,hicp,esi_sk,ind_conf_sk,cons_conf_sk,esi_de,esi_ea,bond_10y,eur_usd
2015-04,-2.585923100500553e-26,-2.869198733449574e-26,-1.8815984563070147e-26,-6.0094260934235306e-27,-2.327256503384345e-26,-3.0244593230263766e-26,2.2471355303636123e-26,-1.327702969146995e-26,-2.4283921552256548e-26,-3.251696367506454e-27,-9.365555769920238e-27,-9.52297268169827e-26,1.9346518750128611e-28,-8.112700188900547e-26,-3.221070336945007e-26,-9.87770375650677e-26,-4.537659525337499e-25,-3.570550759396144e-25,8.802250680594079e-27,6.087776608708388e-28
2015-05,2.1306425803791617e-26,2.334142028694557e-26,1.562691360846462e-26,5.952996888096365e-27,1.4578601906033415e-26,2.1290632362994414e-26,-9.277045057026248e-28,5.467965099599349e-27,2.2725150220714819e-26,3.53286650386179e-27,5.850818155094533e-27,-2.1722930138663574e-26,-3.01464407470261e-29,-1.6646579850286465e-26,2.1580084494585884e-28,-2.3027011546953963e-26,-1.0722417195746642e-25,-8.399455577475129e-26,-2.1304581792650175e-27,-1.5764009196976172e-28
2015-06,7.89384893989067e-26,8.690207390352072e-26,5.772094912041916e-26,2.063478552747837e-26,6.053176620323922e-26,8.402705845187118e-26,-2.8381068711025143e-26,2.80185381739554e-26,8.034168476704466e-26,1.1878216824161434e-26,2.4323075219965926e-26,6.161225351720608e-26,-2.950145900264433e-28,5.67396586950499e-26,3.813450310091221e-26,6.277566061934018e-26,2.8508462584001835e-25,2.2518673638328035e-25,-1.5157754482891012e-26,-1.0718733712996288e-27
2015-07,1.0741588069803694e-25,1.1847944072297712e-25,7.845009153678802e-26,2.7318256566072346e-26,8.585949689096482e-26,1.1709608929459528e-25,-5.197549632693352e-26,4.2281406089887e-26,1.0726223118151024e-25,1.551505696707493e-26,3.451463895459305e-26,1.599208481223991e-25,-4.996003507899632e-28,1.4061137370360933e-25,7.18820588404497e-26,1.6471383483470682e-25,7.532778921109039e-25,5.93618936131845e-25,-2.4515677333288172e-26,-1.7197565375054973e-27
2015-08,6.335867917353908e-26,7.009977285151192e-26,4.6184299450981314e-26,1.5392325302854192e-26,5.395352799867886e-26,7.168161040359999e-26,-4.332123915012831e-26,2.8879217735244644e-26,6.131189852905078e-26,8.536788476554119e-27,2.1701765530684628e-26,1.6646780579942848e-25,-3.87758288777001e-28,1.4305614292560776e-25,6.13537688530131e-26,1.7233847122438358e-25,7.90733306569213e-25,6.224563511414171e-25,-1.8148585309709362e-26,-1.262054749061845e-27
2015-09,-6.222581493693377e-26,-6.767192635510117e-26,-4.584433250003197e-26,-1.9050998230134127e-26,-3.4935263127340014e-26,-5.614635544030424e-26,-2.6529615527012704e-26,-6.872908678079756e-27,-7.088572361255871e-26,-1.1737028514360453e-26,-1.3985477716693783e-26,2.30002556269209e-25,-1.2684716145520638e-28,1.8741958561424004e-25,4.3133264526025294e-26,2.4083830464417635e-25,1.1129803440899143e-24,8.740437290898807e-25,-2.293401355387516e-27,-1.1143666243540426e-28
2015-10,-2.988138913159143e-25,-3.2747861163588263e-25,-2.191094539477952e-25,-8.307046261345627e-26,-2.0637666685496384e-25,-3.001064877637319e-25,2.0348335315534997e-26,-7.896874969224578e-26,-3.1757748414075013e-25,-4.919084383987181e-26,-8.283377479338549e-26,2.628561137281259e-25,4.76719212443301e-28,1.9862822668390804e-25,-1.4009173429430537e-26,2.793818244946486e-25,1.3030540279912293e-24,1.0202050262537279e-24,3.2015792826793827e-26,2.354340431046706e-27
2015-11,-6.323431095514938e-25,-6.967284682503289e-25,-4.62133239699287e-25,-1.6331224312919857e-25,-4.940012958520334e-25,-6.802954003399184e-25,2.6219281833791235e-25,-2.3528487553145725e-25,-6.382012273993775e-25,-9.346012436246001e-26,-1.9853852396309228e-25,-6.920391639248382e-25,2.6193220744989323e-27,-6.199284794203142e-25,-3.576322994716229e-25,-7.097329605602942e-25,-3.23684756390242e-24,-2.5531385951540263e-24,1.3157022943800869e-25,9.267772193573017e-27
2015-12,-6.247972494097056e-25,-6.926389350369023e-25,-4.548709796110623e-25,-1.4721270105441997e-25,-5.530472883685163e-25,-7.234492571187034e-25,5.075402124299667e-25,-3.0977926603120722e-25,-5.922037688046539e-25,-8.028411120392835e-26,-2.2253000848201367e-25,-2.0992289700814787e-24,4.41422755335338e-27,-1.792093401012046e-24,-7.252717753299451e-25,-2.176429153334337e-24,-9.995266260185962e-24,-7.865739739647194e-24,2.0236536148713627e-25,1.401663124637915e-26
2016-01,3.886334577132034e-25,4.164415040294558e-25,2.8888941587443634e-25,1.3977045066875337e-25,1.2279382266979338e-25,2.7534768730698375e-25,5.306925666118924e-25,-7.062848807658679e-26,4.991002868833744e-25,9.10207232609782e-26,4.862406390795338e-26,-3.5157217636198245e-24,3.474783005173593e-27,-2.9032627565200434e-24,-8.157060787088532e-25,-3.67111931113793e-24,-1.693572606774693e-23,-1.3307609842532996e-23,1.2062489031657965e-25,7.834311143611014e-27
2016-02,2.867773868975261e-24,3.1561549099899667e-24,2.0973417571652304e-24,7.527600631081027e-25,2.184779361004506e-24,3.0413534015844515e-24,-9.763760818989975e-25,1.0008785982143996e-24,2.9271981252906514e-24,4.341807660127917e-25,8.778367800367277e-25,1.926805363924686e-24,-1.0315738222932778e-26,1.8017027847025108e-24,1.3035453698114812e-24,1.9559280650748483e-24,8.860970348278643e-24,7.004926032032013e-24,-5.347428801254883e-25,-3.787082914344693e-26
2016-03,4.3908257457560714e-24,4.851241304973586e-24,3.2034144540959306e-24,1.089313168175026e-24,3.63528406108564e-24,4.885698227027234e-24,-2.6052257441642977e-24,1.8778579725295488e-24,4.310302972582595e-24,6.10877880671775e-25,1.4618403562786996e-24,9.274978982277569e-24,-2.3954464638260434e-26,8.029392684514159e-24,3.6576975271549824e-24,9.586413477669841e-24,4.393923355819481e-23,3.460043418655644e-23,-1.1421009653804918e-24,-7.96979610962914e-26
2016-04,1.4794976886774713e-24,1.676225585125719e-24,1.0621931789269105e-24,2.2773836246714923e-25,1.864233879346725e-24,2.150997226829137e-24,-3.323982401656139e-24,1.3937554428675576e-24,1.074513335288931e-24,8.710352957664904e-26,7.520801778035395e-25,1.7059729132721856e-23,-2.6049325551423126e-26,1.431783121113027e-23,4.8937423300215775e-24,1.775256223984664e-23,8.171953381454729e-23,6.425900454661992e-23,-1.097238827922891e-24,-7.46937146284092e-26
2016-05,-8.701794613598198e-24,-9.566891758277539e-24,-6.368158520107251e-24,-2.3174508696504375e-24,-6.4764333235179955e-24,-9.107756655329495e-24,2.3775347365745587e-24,-2.8549701920244752e-24,-8.97249038371086e-24,-1.3458521352482678e-24,-2.6015782957349996e-24,-2.5134335744791723e-24,2.700112571414221e-26,-2.689300970607825e-24,-3.0796174412131467e-24,-2.4611768342898647e-24,-1.088126742905323e-23,-8.673274609462094e-24,1.4521825554581896e-24,1.0346968411997072e-25
